38.146608,-76.431146
38.147121,-76.431380
38.147625,-76.431605
38.148057,-76.432010
38.148597,-76.432280
38.149137,-76.432550
38.149677,-76.432820
38.150217,-76.433090
38.150217,-76.432550
38.150217,-76.432010
38.150217,-76.431470
38.150217,-76.430930
38.150217,-76.430390
38.150451,-76.430183
38.150469,-76.429706
38.150064,-76.429418
38.149524,-76.429220
38.149029,-76.429022
38.148561,-76.428824
38.148057,-76.428770
38.147517,-76.428501
38.147067,-76.428384
38.146554,-76.428123
38.146563,-76.428635
38.146581,-76.429148
38.146599,-76.429661
38.146608,-76.430165
38.146437,-76.430660
38.146977,-76.430930
38.147517,-76.431200
38.148057,-76.431470
38.148597,-76.431740
38.149137,-76.432010
38.149677,-76.432280
38.149677,-76.431740
38.149677,-76.431200
38.149677,-76.430660
38.149677,-76.430120
38.150217,-76.429850
38.149677,-76.429580
38.149137,-76.429310
38.148597,-76.429040
38.148057,-76.429310
38.147517,-76.429040
38.146977,-76.428770
38.146977,-76.429310
38.146977,-76.429850
38.146977,-76.430390
38.147517,-76.430660
38.148057,-76.430930
38.148597,-76.431200
38.149137,-76.431470
38.149137,-76.430930
38.149137,-76.430390
38.149137,-76.429850
38.148597,-76.429580
38.148057,-76.429850
38.147517,-76.429580
38.147517,-76.430120
38.148057,-76.430390
38.148597,-76.430660
38.148597,-76.430120
